,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\2021-12-05-PDIpy-A3B_4Zn-Saureus-2
1,singlet_oxygen_diffusion_distance (nm),8e-08
2,oxidation_angle,5
3,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\pdipy
4,medium,water
5,solution_depth (m),0.01
6,surface_area (m^2),0.0058000000000000005
7,solution_volume (m^3),5.800000000000001e-05
8,bacterial_specie,Saureus
9,photosensitizer_selection,A3B_4Zn
10,soret (m),"{'upper': 4.3e-07, 'lower': 4.0000000000000003e-07}"
11,q (m),"{'upper': 6.25e-07, 'lower': 5.3e-07}"
12,atomic_thickness,1.5e-10
13,photosensitizer_molar,1e-06
14,layer_volume (m^3),7.513769791287798e-12
15,visible (nm),"{'upper': 7.8e-07, 'lower': 3.9e-07}"
16,visible_proportion,0.5
17,watts,2.19936
18,initial_time,0
19,total_time (s),1200.0
20,timestep (s),60.0
