,variable,value
0,fa_gL_conc,9.1352E-1
1,fa_molar,1.0976E-2
2,cell_radius_m,6.0676E-5
3,membrane_cub_m,1.8504E-16
4,fa_mass_proportion,1.6130E-28
5,photosensitizer_molar,2.0000E-5
6,photosensitizers,2.9452002043671196e+16
7,molecular_volume_cub_m,1.2674E-27
8,volume_proportion,1.5265E-5
9,photon_moles_per_timestep,2.6205E-6
10,eps_oxidation,3.7750E1
11,bacterial_biofilm_mass_proportion,1.0000E-1
12,hv_photobleaching_s,4.1667E-1
13,so_decay_time_s,6.0000E-5
14,k_fa,7.0250E2
15,simulation_path,"C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\Beirao_et_al\Beirao_et_al, biofilm, 20 uM solution"
