time (hr),oxidation_proportion,percent_reduction
0,0.0,"{'oxidation_proportion': 0.0, 'percent_reduction': 0.0}"
1,0.034482758620689655,"{'oxidation_proportion': 0.15821223782473207, 'percent_reduction': 1.9776529728091508}"
2,0.06896551724137931,"{'oxidation_proportion': 0.29139719332932135, 'percent_reduction': 3.642464916616517}"
3,0.10344827586206896,"{'oxidation_proportion': 0.4035122271692844, 'percent_reduction': 5.043902839616055}"
4,0.13793103448275862,"{'oxidation_proportion': 0.4978903647535876, 'percent_reduction': 6.223629559419845}"
5,0.1724137931034483,"{'oxidation_proportion': 0.577337856885397, 'percent_reduction': 7.216723211067462}"
6,0.20689655172413793,"{'oxidation_proportion': 0.6442148696669444, 'percent_reduction': 8.052685870836806}"
7,0.2413793103448276,"{'oxidation_proportion': 0.700509393491701, 'percent_reduction': 8.756367418646263}"
8,0.27586206896551724,"{'oxidation_proportion': 0.7478972176717913, 'percent_reduction': 9.348715220897391}"
9,0.3103448275862069,"{'oxidation_proportion': 0.787787362090673, 'percent_reduction': 9.847342026133413}"
10,0.3448275862068966,"{'oxidation_proportion': 0.8213653751589157, 'percent_reduction': 10.267067189486447}"
11,0.37931034482758624,"{'oxidation_proportion': 0.8496305007698058, 'percent_reduction': 10.620381259622572}"
12,0.41379310344827586,"{'oxidation_proportion': 0.8734237714966513, 'percent_reduction': 10.91779714370814}"
13,0.4482758620689655,"{'oxidation_proportion': 0.8934522240884827, 'percent_reduction': 11.168152801106034}"
14,0.4827586206896552,"{'oxidation_proportion': 0.910310773508794, 'percent_reduction': 11.378884668859925}"
15,0.5172413793103449,"{'oxidation_proportion': 0.9245022263110074, 'percent_reduction': 11.556277828887593}"
16,0.5517241379310345,"{'oxidation_proportion': 0.9364486707437918, 'percent_reduction': 11.705608384297397}"
17,0.5862068965517242,"{'oxidation_proportion': 0.9465046188689027, 'percent_reduction': 11.831307735861284}"
18,0.6206896551724138,"{'oxidation_proportion': 0.9549692742678889, 'percent_reduction': 11.93711592834861}"
19,0.6551724137931035,"{'oxidation_proportion': 0.962094672425699, 'percent_reduction': 12.026183405321238}"
20,0.6896551724137931,"{'oxidation_proportion': 0.9680925994538319, 'percent_reduction': 12.101157493172899}"
21,0.7241379310344828,"{'oxidation_proportion': 0.9731414088849505, 'percent_reduction': 12.16426761106188}"
22,0.7586206896551725,"{'oxidation_proportion': 0.9773913476323316, 'percent_reduction': 12.217391845404144}"
23,0.7931034482758621,"{'oxidation_proportion': 0.9809688142074144, 'percent_reduction': 12.26211017759268}"
24,0.8275862068965517,"{'oxidation_proportion': 0.9839801967907404, 'percent_reduction': 12.299752459884255}"
25,0.8620689655172413,"{'oxidation_proportion': 0.9865150733780002, 'percent_reduction': 12.331438417225002}"
26,0.896551724137931,"{'oxidation_proportion': 0.9886488527912493, 'percent_reduction': 12.358110659890615}"
27,0.9310344827586207,"{'oxidation_proportion': 0.9904449935040215, 'percent_reduction': 12.380562418800269}"
28,0.9655172413793104,"{'oxidation_proportion': 0.9919569227463647, 'percent_reduction': 12.399461534329559}"
29,1.0,"{'oxidation_proportion': 0.9932296140250346, 'percent_reduction': 12.415370175312933}"
