,variable,value
0,simulation_path,"C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\Beirao_et_al\Beirao_et_al, solution-3"
1,fa_g/L_conc,8.4772E-1
2,fa_molar,6.9030E-3
3,photosensitizer_molar,5.0000E-6
4,photosensitizers,7.3630E15
5,molecular_volume (m^3),1.2612E-28
6,volume_proportion,3.7977E-7
7,photon_moles_per_timestep,8.7350E-6
8,dissolved_mo_molar,2.8126E-4
9,e_ps_decay_time (s),8.2500E-9
10,ps_excitation (s),5.0000E-14
11,hv_photobleaching (s),1.4368E9
12,so_qy,4.8000E-1
13,e_ps_charge_transfer (s),2.0000E-8
14,so_decay_time (s),6.0000E-5
15,k_fa,6.5190E2
