Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa]
0.0,5e-06,0.0,0.0,0.0,0.0109764263757248,0.0
180.7531380753138,5.790464843715468e-07,4.420860130382399e-06,3.721408891633318e-07,9.33852460523911e-11,0.005489091812612743,0.006037611052969519
361.5062761506276,5.790356514961148e-07,4.4207774243676194e-06,3.7256849021232367e-07,1.86924136263701e-10,0.0027414766852718853,0.009060236787689826
542.2594142259414,5.790248098999655e-07,4.420694651772569e-06,3.7277906234000725e-07,2.8053832746226055e-10,0.001368365344880448,0.010570654168373838
723.0125523012553,5.790139641455779e-07,4.420611847430516e-06,3.728807917375694e-07,3.7418842390320694e-10,0.000682788604761565,0.011324754459198927
903.7656903765691,5.790031165177612e-07,4.420529028785351e-06,3.7292808179509275e-07,4.678546968872499e-10,0.0003406486950363115,0.011701083817038493
1084.5188284518829,5.78992268158482e-07,4.42044620455567e-06,3.729481803495609e-07,5.615272858483518e-10,0.00016994114977465617,0.011888848176573326
1265.2719665271966,5.789814196379209e-07,4.420363379094645e-06,3.7295470646879487e-07,6.552012674336133e-10,8.47772306975252e-05,0.01198252119896557
1446.0251046025105,5.789705712406183e-07,4.4202805545746655e-06,3.729544603098473e-07,7.48874184716312e-10,4.229193025810731e-05,0.012029251354142727
1626.7782426778244,5.789597231085293e-07,4.420197732079519e-06,3.7295083556628517e-07,8.425448119514465e-10,2.109782364192829e-05,0.012052563050056168
1807.5313807531381,5.789488753124606e-07,4.420114912149796e-06,3.72945525484059e-07,9.3621253774319e-10,1.052499396004601e-05,0.012064192268029019
1988.2845188284518,5.789380278877233e-07,4.4200320950550835e-06,3.729393747943172e-07,1.0298770571944723e-09,5.250627392764089e-06,0.012069993633840639
2169.0376569037658,5.789271808519194e-07,4.419949280929773e-06,3.72932804897958e-07,1.1235382183084044e-09,2.619426918507564e-06,0.012072887741083983
2349.7907949790797,5.789163342138193e-07,4.419866469840819e-06,3.729260260105515e-07,1.2171959453613523e-09,1.306794456740136e-06,0.01207433153297337
2530.543933054393,5.789054879777859e-07,4.419783661821535e-06,3.729191429976106e-07,1.3108502006778465e-09,6.519500981134567e-07,0.012075051811293298
2711.297071129707,5.78894642145985e-07,4.419700856888452e-06,3.729122081714701e-07,1.4045009655622976e-09,3.252577034960114e-07,0.012075411148411578
2892.050209205021,5.788837967194844e-07,4.419618055049727e-06,3.7290524762848334e-07,1.4981482307871207e-09,1.6227329769937454e-07,0.012075590419360951
3072.803347280335,5.788729516988065e-07,4.419535256309345e-06,3.7289827438701205e-07,1.5917919918478858e-09,8.096126557164552e-08,0.012075679856827927
3253.556485355649,5.788621070841993e-07,4.419452460669202e-06,3.728912949416395e-07,1.6854322465962392e-09,4.039499175828447e-08,0.012075724476934729
3434.3096234309623,5.788512628757764e-07,4.419369668130164e-06,3.728843125326484e-07,1.7790689940591181e-09,2.0154911754730942e-08,0.012075746739670148
3615.0627615062763,5.78840419073582e-07,4.419286878692567e-06,3.7287732877616253e-07,1.872702233850019e-09,1.0056327706755079e-08,0.012075757847458528
3795.81589958159,5.78829575677627e-07,4.419204092356498e-06,3.728703444784644e-07,1.9663319658749025e-09,5.017959620260613e-09,0.012075763389347466
3976.5690376569037,5.788187326879056e-07,4.419121309121909e-06,3.728633600417233e-07,2.0599581901856615e-09,2.5051997008068013e-09,0.01207576615323098
4157.322175732218,5.788078901044033e-07,4.41903852898869e-06,3.728563756670805e-07,2.1535809069067755e-09,1.250319368135281e-09,0.012075767533525782
4338.0753138075315,5.787970479271013e-07,4.4189557519567e-06,3.728493914543468e-07,2.24720011619931e-09,6.241816275781879e-10,0.012075768222241896
4518.828451882845,5.787862061559788e-07,4.41887297802578e-06,3.7284240745351313e-07,2.3408158182423034e-09,3.1162964792206314e-10,0.01207576856603204
4699.581589958159,5.787753647910148e-07,4.4187902071957625e-06,3.728354236893854e-07,2.4344280132238792e-09,1.5622775864848194e-10,0.012075768736965985
4880.334728033473,5.787645238321858e-07,4.418707439466478e-06,3.7282844017453086e-07,2.528036701336564e-09,7.867750495678754e-11,0.012075768822267373
5061.087866108786,5.7875368327947e-07,4.418624674837756e-06,3.728214569152223e-07,2.621641882775143e-09,3.934835715338251e-11,0.012075768865527532
5241.841004184101,5.787428431328447e-07,4.418541913309422e-06,3.7281447391430805e-07,2.7152435577356245e-09,2.0195811762351448e-11,0.012075768886594456
5422.594142259414,5.787320033922867e-07,4.418459154881301e-06,3.7280749117324256e-07,2.8088417264145046e-09,1.1957631692477588e-11,0.012075768895656137
5603.347280334729,5.787211640577741e-07,4.41837639955322e-06,3.7280050869296617e-07,2.902436389008451e-09,8.62215960658212e-12,0.012075768899325094
5784.100418410042,5.78710325129283e-07,4.418293647325005e-06,3.7279352647430846e-07,2.996027545714156e-09,4.855976935915687e-12,0.012075768903467768
5964.8535564853555,5.786994866067915e-07,4.418210898196482e-06,3.727865445171069e-07,3.0896151967286562e-09,1.5979233619447442e-12,0.01207576890705149
6145.60669456067,5.786886484902761e-07,4.418128152167478e-06,3.7277956282106184e-07,3.1831993422490217e-09,6.434918306958883e-13,0.01207576890810137
6326.359832635983,5.786778107797143e-07,4.418045409237817e-06,3.727725813863412e-07,3.2767799824721408e-09,8.374602071022256e-13,0.01207576890788805
6507.112970711298,5.786669734750834e-07,4.4179626694073245e-06,3.727656002131119e-07,3.370357117594885e-09,1.0406740326290437e-12,0.012075768907664519
6687.866108786611,5.786561365763605e-07,4.417879932675828e-06,3.7275861930138896e-07,3.463930747814169e-09,1.0646654839510169e-12,0.012075768907638142
6868.619246861925,5.786453000835227e-07,4.417797199043154e-06,3.7275163865112456e-07,3.5575008733269123e-09,1.1143989759893314e-12,0.012075768907583431
7049.372384937239,5.786344639965474e-07,4.4177144685091266e-06,3.727446582623669e-07,3.6510674943299866e-09,7.970642936751896e-13,0.012075768907932431
7230.125523012553,5.786236283154116e-07,4.417631741073571e-06,3.727376781350442e-07,3.7446306110202935e-09,4.740679105803574e-13,0.012075768908287663
7410.878661087866,5.786127930400925e-07,4.417549016736316e-06,3.727306982691344e-07,3.838190223594699e-09,1.8839662781208254e-13,0.012075768908601852
7591.63179916318,5.786019581705675e-07,4.417466295497185e-06,3.7272371866462155e-07,3.931746332250053e-09,-5.072044773834832e-14,0.01207576890886484
7772.384937238494,5.785911237068135e-07,4.4173835773560066e-06,3.727167393215071e-07,4.025298937183186e-09,-3.444791883680195e-13,0.01207576890918791
7953.138075313807,5.78580289648808e-07,4.417300862312604e-06,3.727097602397439e-07,4.11884803859093e-09,-4.910627178576766e-13,0.012075768909349097
