Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa]
0.0,1.8e-06,0.0,0.0,0.0,0.010975945912449,0.0
180.7531380753138,1.2327823055160719e-08,1.7876477067128054e-06,2.4091617785884976e-07,2.447023203311421e-11,0.010433278653336635,0.0012862992766957029
361.5062761506276,1.2327655451224886e-08,1.7876234026009115e-06,2.4093345250783236e-07,4.894194786291774e-11,0.00991735569588864,0.002509081291105391
542.2594142259414,1.2327487837906558e-08,1.7875990971284242e-06,2.4094971671177415e-07,7.341503366842198e-11,0.009426863993986746,0.0036714782705194165
723.0125523012553,1.2327320215891181e-08,1.7875747903947827e-06,2.4096501962987816e-07,9.78893893254495e-11,0.00896055883765312,0.0047764574207348216
903.7656903765691,1.2327152585830614e-08,1.7875504824945146e-06,2.4097940804552755e-07,1.223649196541061e-10,0.00851725643720045,0.005826839516122443
1084.5188284518829,1.232698494834598e-08,1.787526173517689e-06,2.4099292657921597e-07,1.468415339643003e-10,0.00809582839546875,0.006825312321837596
1265.2719665271966,1.2326817304027989e-08,1.7875018635499625e-06,2.410056177088045e-07,1.7131914600887515e-10,0.007695201151831293,0.007774432001087028
1446.0251046025105,1.2326649653438097e-08,1.787477552672753e-06,2.4101752184573183e-07,1.9579767380808477e-10,0.007314353853717349,0.008676628321289893
1626.7782426778244,1.2326481997110205e-08,1.7874532409634814e-06,2.410286774535665e-07,2.2027703940770747e-10,0.0069523154126082815,0.009534211813315476
1807.5313807531381,1.2326314335551711e-08,1.7874289284957245e-06,2.410391211170491e-07,2.4475716872323173e-10,0.006608162604953291,0.010349378389288021
1988.2845188284518,1.232614666924612e-08,1.7874046153395943e-06,2.4104888772285214e-07,2.692379911589455e-10,0.006281015428268003,0.011124220604900446
2169.0376569037658,1.2325978998653344e-08,1.787380301561783e-06,2.410580104825025e-07,2.9371943956308396e-10,0.005970036542837177,0.011860728996344248
2349.7907949790797,1.2325811324210088e-08,1.7873559872256167e-06,2.410665209546234e-07,3.1820145017254847e-10,0.005674430588049763,0.012560793728079648
2530.543933054393,1.2325643646332624e-08,1.787331672391459e-06,2.4107444924001745e-07,3.4268396220761406e-10,0.005393439244139066,0.013226216574529971
2711.297071129707,1.232547596541534e-08,1.787307357116499e-06,2.41081823879951e-07,3.671669180849712e-10,0.005126343797385023,0.013858704641238557
2892.050209205021,1.2325308281835035e-08,1.7872830414553762e-06,2.410886721546212e-07,3.9165026278788756e-10,0.0048724574821474445,0.014459888979046395
3072.803347280335,1.2325140595948128e-08,1.7872587254597751e-06,2.4109501988707547e-07,4.161339442758403e-10,0.004631130411971854,0.015031312494575715
3253.556485355649,1.2324972908095128e-08,1.787234409179073e-06,2.411008917570401e-07,4.406179128308645e-10,0.004401741649670875,0.015574449271411503
3434.3096234309623,1.2324805218598372e-08,1.787210092660011e-06,2.4110631114797383e-07,4.6510212138950597e-10,0.004183703183490561,0.016090694767952753
3615.0627615062763,1.2324637527765197e-08,1.7871857759471558e-06,2.4111130036058507e-07,4.895865250780632e-10,0.0039764542892658985,0.01658137956352656
3795.81589958159,1.2324469835887174e-08,1.7871614590827882e-06,2.4111588056424704e-07,5.140710813236588e-10,0.0037794628353319468,0.01704776607660453
3976.5690376569037,1.2324302143241831e-08,1.7871371421071523e-06,2.411200719168988e-07,5.385557496049812e-10,0.0035922222463734238,0.017491055945556177
4157.322175732218,1.232413445009282e-08,1.7871128250584792e-06,2.4112389357869976e-07,5.630404914270347e-10,0.003414251169201097,0.01791239077421057
4338.0753138075315,1.2323966756691024e-08,1.78708850797315e-06,2.4112736378822155e-07,5.875252701580088e-10,0.0032450914701979785,0.01831285696570048
4518.828451882845,1.2323799063274698e-08,1.787064190885714e-06,2.411304998744913e-07,6.120100510102723e-10,0.003084307985397422,0.018693486285014802
4699.581589958159,1.2323631370070698e-08,1.7870398738290681e-06,2.4113331834233356e-07,6.364948008603449e-10,0.0029314863091636635,0.019055261189901626
4880.334728033473,1.2323463677294294e-08,1.787015556834427e-06,2.4113583486040524e-07,6.609794882777915e-10,0.0027862331275314246,0.019399113978416396
5061.087866108786,1.2323295985150496e-08,1.7869912399315189e-06,2.411380643546153e-07,6.854640833298809e-10,0.0026481738216717066,0.01972593257148028
5241.841004184101,1.2323128293833804e-08,1.7869669231485488e-06,2.4114002099303064e-07,7.099485576164943e-10,0.0025169528755799404,0.020036559481884517
5422.594142259414,1.2322960603529384e-08,1.7869426065123683e-06,2.4114171826669874e-07,7.34432884101369e-10,0.00239223180193356,0.020331796811199662
5603.347280334729,1.2322792914413009e-08,1.7869182900484652e-06,2.411431689866579e-07,7.589170371209238e-10,0.0022736892366525506,0.02061240598882597
5784.100418410042,1.2322625226651948e-08,1.7868939737810947e-06,2.411443853475531e-07,7.834009922525747e-10,0.0021610193131665553,0.020879111672910743
5964.8535564853555,1.2322457540405008e-08,1.7868696577332855e-06,2.411453789314659e-07,8.078847263085877e-10,0.0020539315790159317,0.021132601931888036
6145.60669456067,1.2322289855823328e-08,1.7868453419269548e-06,2.411461607636714e-07,8.323682172211007e-10,0.0019521495720669683,0.021373531650713786
6326.359832635983,1.2322122173050375e-08,1.7868210263829057e-06,2.4114674131301366e-07,8.568514440430226e-10,0.001855410824994372,0.021602522504532647
6507.112970711298,1.2321954492222714e-08,1.7867967111209421e-06,2.411471305471391e-07,8.813343868342426e-10,0.0017634654565554459,0.02182016632880177
6687.866108786611,1.2321786813469939e-08,1.786772396159856e-06,2.4114733792773527e-07,9.058170266729987e-10,0.0016760763043496408,0.022027024783685414
6868.619246861925,1.232161913691542e-08,1.7867480815175374e-06,2.411473724638739e-07,9.302993455462304e-10,0.0015930175676520347,0.02222363260115113
7049.372384937239,1.2321451462676223e-08,1.7867237672109615e-06,2.411472427068946e-07,9.547813263613373e-10,0.001514074945947813,0.02241049723761122
7230.125523012553,1.2321283790863773e-08,1.7866994532562866e-06,2.4114695679792116e-07,9.792629528488788e-10,0.0014390444328121255,0.02258810175575474
7410.878661087866,1.2321116121583821e-08,1.7866751396688465e-06,2.411465224652838e-07,1.0037442095687287e-09,0.0013677323875595424,0.02275690464263462
