Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa]
0.0,1.8e-06,0.0,0.0,0.0,0.010975945912449,0.0
180.7531380753138,7.98046595154544e-09,1.7920192785127976e-06,1.5064781341796735e-07,2.555356570409114e-13,0.008639657604278496,0.0030145489708116955
361.5062761506276,7.980464817605653e-09,1.7920190238858157e-06,1.5076545303167415e-07,5.112965795547876e-13,0.006798798902855233,0.005389227388868439
542.2594142259414,7.980463682878056e-09,1.79201876908193e-06,1.5085822422108667e-07,7.672351920605314e-13,0.005349042451634683,0.007259011577389084
723.0125523012553,7.980462547529488e-09,1.792018514138605e-06,1.5093133478280076e-07,1.0233138654485394e-12,0.00420771141041481,0.008730778074867562
903.7656903765691,7.980461411691702e-09,1.792018259085427e-06,1.5098891920938157e-07,1.2795028810312127e-12,0.0033094663435253827,0.009888935759460886
1084.5188284518829,7.98046027546869e-09,1.7920180039457455e-06,1.5103425366069604e-07,1.535778785489796e-12,0.002602716133935221,0.010800098226040965
1265.2719665271966,7.980459138942522e-09,1.7920177487379893e-06,1.5106993219570633e-07,1.7921230679207595e-12,0.0020467257297641863,0.011516841317665765
1446.0251046025105,7.98045800217784e-09,1.7920174934766756e-06,1.5109800338044679e-07,2.0485211464122e-12,0.0016093958547276168,0.012080581512067328
1626.7782426778244,7.98045686522555e-09,1.792017238173234e-06,1.5112008335568534e-07,2.304961540368538e-12,0.0012654476686169243,0.012523926734981315
1807.5313807531381,7.980455728125743e-09,1.7920169828366669e-06,1.5113744697920594e-07,2.5614352072952197e-12,0.0009949669647776739,0.012872560064539965
1988.2845188284518,7.980454590909974e-09,1.7920167274740616e-06,1.5115109912738358e-07,2.817935028260576e-12,0.0007822734080147455,0.013146701154017617
2169.0376569037658,7.980453453603077e-09,1.792016472090993e-06,1.51161830947558e-07,3.074455404034646e-12,0.0006150324347626937,0.013362253303265528
2349.7907949790797,7.980452316224585e-09,1.7920162166918473e-06,1.5117026549062835e-07,3.3309919282528963e-12,0.0004835363610861693,0.013531731759375113
2530.543933054393,7.980451178789864e-09,1.7920159612800754e-06,1.5117689314607757e-07,3.587541134840338e-12,0.0003801484938669388,0.013664981098499706
2711.297071129707,7.980450041310997e-09,1.7920157058583909e-06,1.5118209972476033e-07,3.844100298172298e-12,0.00029886318549990977,0.013769742821808692
2892.050209205021,7.980448903797494e-09,1.7920154504289283e-06,1.5118618879818666e-07,4.100667274382419e-12,0.00023495642349119792,0.013852106082554298
3072.803347280335,7.980447766256826e-09,1.7920151949933657e-06,1.5118939912438e-07,4.357240377813094e-12,0.00018471372532790842,0.013916858599408562
3253.556485355649,7.980446628694867e-09,1.7920149395530226e-06,1.5119191850538447e-07,4.6138182828516675e-12,0.00014521391026570555,0.0139677654675999
3434.3096234309623,7.980445491116236e-09,1.7920146841089368e-06,1.51193894617086e-07,4.870399947352305e-12,0.00011416040740567241,0.014007786661048816
3615.0627615062763,7.980444353524581e-09,1.7920144286619238e-06,1.5119544359177575e-07,5.126984551807797e-12,8.974724416821431e-05,0.014039249800559003
3795.81589958159,7.980443215922737e-09,1.7920141732126256e-06,1.5119665674643277e-07,5.3835714519566225e-12,7.055461888690265e-05,0.014063984762362315
3976.5690376569037,7.980442078312967e-09,1.792013917761546e-06,1.5119760587567401e-07,5.6401601412842166e-12,5.5466280343101124e-05,0.014083430184444157
4157.322175732218,7.980440940697029e-09,1.7920136623090816e-06,1.511983474363798e-07,5.896750221526491e-12,4.3604531863689834e-05,0.014098717244429057
4338.0753138075315,7.980439803076308e-09,1.7920134068555442e-06,1.5119892580789356e-07,6.153341379627876e-12,3.42794545322219e-05,0.014110735104868056
4518.828451882845,7.980438665451904e-09,1.7920131514011789e-06,1.5119937588793705e-07,6.4099333694294005e-12,2.694855470240206e-05,0.014120182923978814
4699.581589958159,7.980437527824671e-09,1.792012895946178e-06,1.5119972510827158e-07,6.666525997440912e-12,2.118541045154714e-05,0.014127610266357863
4880.334728033473,7.980436390195282e-09,1.7920126404906932e-06,1.5119999503796424e-07,6.923119111528605e-12,1.6654741537647218e-05,0.014133449233423715
5061.087866108786,7.980435252564268e-09,1.7920123850348436e-06,1.5120020263273194e-07,7.1797125921008155e-12,1.3092985006973577e-05,0.014138039498112723
5241.841004184101,7.980434114932043e-09,1.792012129578723e-06,1.5120036122250964e-07,7.43630634514052e-12,1.0292940340416394e-05,0.014141648094478588
5422.594142259414,7.98043297729894e-09,1.7920118741224048e-06,1.5120048128770612e-07,7.692900296729591e-12,8.091701915487894e-06,0.014144484970253115
5603.347280334729,7.980431839665218e-09,1.7920116186659464e-06,1.5120057106622015e-07,7.949494388766202e-12,6.361220861020589e-06,0.014146715150589177
5784.100418410042,7.980430702031072e-09,1.7920113632093937e-06,1.5120063703574467e-07,8.206088575565825e-12,5.000814375487907e-06,0.014148468392129809
5964.8535564853555,7.980429564396666e-09,1.7920111077527824e-06,1.5120068428746903e-07,8.462682821220034e-12,3.931344857510916e-06,0.014149846684737684
6145.60669456067,7.980428426762124e-09,1.7920108522961406e-06,1.5120071682453057e-07,8.719277097495694e-12,3.0905899656319607e-06,0.014150930218344281
6326.359832635983,7.980427289127543e-09,1.7920105968394904e-06,1.5120073779371702e-07,8.975871382199407e-12,2.4296381349492894e-06,0.014151782028409754
6507.112970711298,7.980426151493002e-09,1.7920103413828492e-06,1.5120074966885906e-07,9.232465657883905e-12,1.9100377017248618e-06,0.014152451670048666
6687.866108786611,7.980425013858567e-09,1.7920100859262307e-06,1.5120075439489995e-07,9.489059910832083e-12,1.5015577796718845e-06,0.014152978103713841
6868.619246861925,7.980423876224275e-09,1.7920098304696455e-06,1.5120075350062584e-07,9.745654130261891e-12,1.1804359851776719e-06,0.014153391953484563
7049.372384937239,7.98042273859017e-09,1.7920095750131022e-06,1.5120074818809035e-07,1.0002248307695641e-11,9.2798845101323e-07,0.014153717298436808
7230.125523012553,7.980421600956283e-09,1.7920093195566074e-06,1.5120073940211315e-07,1.0258842436469846e-11,7.295295892322482e-07,0.014153973064808454
7410.878661087866,7.980420463322632e-09,1.792009064100166e-06,1.5120072788556206e-07,1.0515436511345327e-11,5.735128114786493e-07,0.01415417413341041
7591.63179916318,7.980419325689241e-09,1.7920088086437824e-06,1.512007142223824e-07,1.077203052820373e-11,4.5086170442704123e-07,0.014154332201584723
7772.384937238494,7.98041818805612e-09,1.7920085531874602e-06,1.512006988716457e-07,1.1028624483807412e-11,3.544408063282415e-07,0.014154456465247121
7953.138075313807,7.980417050423282e-09,1.7920082977312013e-06,1.5120068219427068e-07,1.1285218375610957e-11,2.7864026768838e-07,0.01415455415416117
8133.891213389122,7.980415912790736e-09,1.7920080422750078e-06,1.512006644739523e-07,1.1541812201613594e-11,2.1905054874871322e-07,0.01415463095117643
8314.644351464436,7.980414775158488e-09,1.7920077868188812e-06,1.5120064593375368e-07,1.1798405960242163e-11,1.7220452518793906e-07,0.014154691324592784
8495.39748953975,7.980413637526548e-09,1.7920075313628232e-06,1.512006267490025e-07,1.2054999650260165e-11,1.3537703582351868e-07,0.01415473878649583
8676.150627615063,7.980412499894912e-09,1.7920072759068345e-06,1.5120060705755134e-07,1.2311593270695404e-11,1.0642540511111332e-07,0.014154776098285601
8856.903765690377,7.980411362263588e-09,1.7920070204509157e-06,1.5120058696776107e-07,1.2568186820783679e-11,8.366535501488946e-08,0.014154805430596624
9037.65690376569,7.980410224632583e-09,1.7920067649950676e-06,1.5120056656482073e-07,1.282478029992421e-11,6.577276976702914e-08,0.014154828489899813
9218.410041841005,7.98040908700189e-09,1.7920065095392906e-06,1.5120054591570466e-07,1.3081373707644685e-11,5.170665142129673e-08,0.014154846617794462
9399.163179916319,7.980407949371518e-09,1.792006254083585e-06,1.512005250730575e-07,1.3337967043573846e-11,4.064873219800763e-08,0.01415486086883357
9579.916317991632,7.980406811741463e-09,1.7920059986279512e-06,1.512005040782724e-07,1.3594560307419791e-11,3.195562690437614e-08,0.014154872072188011
9760.669456066946,7.980405674111731e-09,1.7920057431723896e-06,1.5120048296388443e-07,1.3851153498953094e-11,2.5121635826791286e-08,0.01415488087958477
9941.42259414226,7.98040453648232e-09,1.7920054877169e-06,1.5120046175545917e-07,1.4107746617993479e-11,1.9749386107949096e-08,0.01415488780314322
10122.175732217573,7.980403398853232e-09,1.7920052322614828e-06,1.5120044047309412e-07,1.436433966439924e-11,1.5526497984907163e-08,0.01415489324544681
10302.928870292888,7.980402261224463e-09,1.792004976806138e-06,1.5120041913262475e-07,1.4620932638058724e-11,1.2206835170922077e-08,0.01415489752370687
10483.682008368201,7.98040112359602e-09,1.7920047213508656e-06,1.5120039774650426e-07,1.4877525538884136e-11,9.596835818124007e-09,0.014154900887378743
