,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\solution_system
1,singlet_oxygen_diffusion_distance (nm),8e-08
2,oxidation_angle,5
3,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\pdipy
4,medium,water
5,solution_volume (m^3),2e-07
6,surface_area (m^2),0.0162
7,solution_depth (m),1.2345679012345678e-05
8,bacterial_specie,Saureus
9,photosensitizer_selection,A3B_4Zn
10,soret (m),"{'upper': 4.3e-07, 'lower': 4.0000000000000003e-07}"
11,q (m),"{'upper': 6.25e-07, 'lower': 5.3e-07}"
12,atomic_thickness,1.5e-10
13,photosensitizer_molar,0.001
14,visible (nm),"{'upper': 7.8e-07, 'lower': 3.9e-07}"
15,visible_proportion,0.5
16,watts,251576.47058823527
17,initial_time,0
18,total_time (s),30000.0
19,timestep (s),600.0
